CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
14441.0,0,4,1712.89,5,3,4,12,Regular
14446.0,0,4,1010.35,5,3,4,12,Regular
16446.0,0,2,168472.5,5,2,5,12,Recent / Low Frequency
15804.0,0,13,4206.39,5,5,5,15,High-Value Loyal
17364.0,0,11,4462.68,5,5,5,15,High-Value Loyal
16705.0,0,20,14034.99,5,5,5,15,High-Value Loyal
12662.0,0,11,3849.78,5,5,5,15,High-Value Loyal
16626.0,0,17,4413.1,5,5,5,15,High-Value Loyal
18102.0,0,60,259657.3,5,5,5,15,High-Value Loyal
15344.0,0,3,563.94,5,3,3,11,Regular
12518.0,0,5,2056.89,5,4,5,14,High-Value Loyal
15311.0,0,91,60632.75,5,5,5,15,High-Value Loyal
14422.0,0,6,4263.64,5,4,5,14,High-Value Loyal
17581.0,0,25,11025.24,5,5,5,15,High-Value Loyal
12423.0,0,8,1859.31,5,4,4,13,High-Value Loyal
17754.0,0,5,1664.65,5,4,4,13,High-Value Loyal
17001.0,0,11,3989.57,5,5,5,15,High-Value Loyal
13069.0,0,24,4431.44,5,5,5,15,High-Value Loyal
17490.0,0,7,2092.32,5,4,5,14,High-Value Loyal
13426.0,0,10,3641.32,5,5,5,15,High-Value Loyal
15694.0,0,14,6479.4,5,5,5,15,High-Value Loyal
12680.0,0,4,862.81,5,3,3,11,Regular
16954.0,0,9,2085.08,5,4,5,14,High-Value Loyal
12433.0,0,7,13375.87,5,4,5,14,High-Value Loyal
16558.0,0,20,8338.49,5,5,5,15,High-Value Loyal
14051.0,0,23,15610.390000000001,5,5,5,15,High-Value Loyal
12713.0,0,1,848.55,5,1,3,9,Recent / Low Frequency
12985.0,0,2,1239.38,5,2,4,11,Recent / Low Frequency
13113.0,0,24,12245.960000000001,5,5,5,15,High-Value Loyal
15910.0,0,8,1228.88,5,4,4,13,High-Value Loyal
12748.0,0,209,33053.19,5,5,5,15,High-Value Loyal
12526.0,0,3,1316.66,5,3,4,12,Regular
17389.0,0,34,31833.68,5,5,5,15,High-Value Loyal
17428.0,0,28,17256.85,5,5,5,15,High-Value Loyal
13777.0,0,33,25977.16,5,5,5,15,High-Value Loyal
17405.0,1,3,1031.41,5,3,4,12,Regular
17530.0,1,10,2367.12,5,5,5,15,High-Value Loyal
15214.0,1,8,1661.44,5,4,4,13,High-Value Loyal
13408.0,1,62,28117.04,5,5,5,15,High-Value Loyal
13404.0,1,2,252.49,5,2,2,9,Recent / Low Frequency
